codigoInterno,nombre,tipoHerramienta,categoria,marca,modelo,numeroSerie,valorCompra,fechaCompra,proveedor,garantiaVence,estadoGeneral,ubicacionActual,responsableActual,fechaUltimoControl,proximoControl,tiempoUsoAcumulado,observaciones
TAL-001,Taladro percutor,Taladro,Eléctrica,Bosch,GBH 2-26,901234567,89500,2023-03-15,Distribuidora XYZ,2025-03-15,Bueno,Depósito central,Carlos López,2024-06-10,2024-12-10,320,
TAL-002,Taladro inalámbrico,Taladro,Eléctrica,Makita,HP457DWE,789012345,65000,2023-07-20,Ferrotools SA,2025-07-20,Bueno,Taller,Pedro Gómez,2024-05-12,2024-11-12,180,
ESL-001,Esmeril angular,Esmeril angular,Eléctrica,DeWalt,DWE402,456789012,42000,2023-01-10,Distribuidora XYZ,2025-01-10,Excelente,Depósito central,Carlos López,2024-04-05,2024-10-05,250,
ESL-002,Esmeril angular grande,Esmeril angular,Eléctrica,Bosch,GWS 22-180,567890123,55000,2023-05-18,Mundo Industrial,2025-05-18,Bueno,Cantera Los Ángeles,Miguel Sánchez,2024-07-01,2025-01-01,410,
LLI-001,Llave de impacto 1/2",Llave de impacto,Neumática,Ingersoll Rand,231HA,678901234,158000,2023-02-28,Neumática Centro,2025-02-28,Bueno,Taller,Pedro Gómez,2024-06-20,2024-12-20,150,
LLI-002,Llave de impacto 3/4",Llave de impacto,Neumática,Atlas Copco,LMS-76,789012346,195000,2023-09-12,Neumática Centro,2025-09-12,Excelente,Taller,Pedro Gómez,2024-08-15,2025-02-15,90,
COM-001,Compresor de 200L,Compresor,Neumática,Atlas Copco,GX-7,890123456,485000,2022-11-20,Neumática Centro,2024-11-20,Regular,Taller,Pedro Gómez,2024-03-01,2024-09-01,1200,Requiere cambio de aceite
COM-002,Compresor portátil,Compresor,Eléctrica,Makita,AC001G,901234568,320000,2023-06-01,Mundo Industrial,2026-06-01,Bueno,Planta Central,Jorge Rodríguez,2024-07-20,2025-01-20,450,
AND-001,Andamio metálico 3m,Andamio,Manual,Skandia,AM-300,123456789,280000,2023-04-10,Skandia Argentina,2026-04-10,Bueno,Depósito central,Carlos López,2024-05-30,2024-11-30,0,Sin novedad
AND-002,Andamio metálico 6m,Andamio,Manual,Skandia,AM-600,234567890,520000,2023-04-10,Skandia Argentina,2026-04-10,Regular,Depósito central,Carlos López,2024-05-30,2024-11-30,0,Falta un tensor
HOR-001,Hormigonera 180L,Hormigonera,Eléctrica,Tramontina,TR-180,345678901,185000,2023-08-15,Agroconstruir,2025-08-15,Bueno,Planta Central,Jorge Rodríguez,2024-06-25,2024-12-25,600,
HOR-002,Hormigonera 350L,Hormigonera,Equipo pesado portátil,Lusqtoff,HM-350,456789013,295000,2023-10-01,Agroconstruir,2025-10-01,En reparación,Taller,Pedro Gómez,2024-09-01,2024-11-01,800,Rectificar tambor
VIB-001,Vibrador para hormigón,Vibrador para hormigón,Eléctrica,Würth,WV-50,567890124,98000,2023-11-20,Würth Argentina,2025-11-20,Bueno,Planta Central,Jorge Rodríguez,2024-08-10,2025-02-10,200,
CIN-001,Cinta métrica láser,Cinta métrica láser,Equipo de medición,Bosch,GLM 50-23,678901235,75000,2024-01-15,Distribuidora XYZ,2026-01-15,Excelente,Depósito central,Carlos López,2024-09-01,2025-03-01,50,
CIN-002,Medidor láser 100m,Cinta métrica láser,Equipo de medición,DeWalt,DW030,789012347,125000,2024-02-20,Mundo Industrial,2026-02-20,Bueno,Obra RN33,Martín Fernández,2024-09-15,2025-03-15,30,
