patente,interno,tipo,marca,modelo,año,chasis,kilometraje,horometro,estadoGeneral,fechaUltimaRevision,vencimientoVTV,seguroCompania,seguroPoliza,seguroVencimiento,proximoServiceKm,proximoServiceFecha,conductorHabitual,centroTrabajo,observaciones
AB123CD,V-001,Camión volcador,Mercedes Benz,Atego 1718,2022,9BM384076LB123456,158000,0,Bueno,2026-04-10,2026-08-31,Rivadavia Seguros,POL-2024-12345,2026-09-30,160000,2026-07-15,Juan Pérez,Cantera Los Ángeles,Último cambio de cubiertas a los 140.000 km
BC234DE,V-002,Camión mixer,Scania,G410 8x4,2023,8BS4108237L789012,89000,0,Excelente,2026-05-20,2027-03-15,La Meridional,MER-2025-67890,2027-04-30,100000,2026-08-01,Carlos Gómez,Planta Central,
CD345EF,V-003,Cargadora frontal,Caterpillar,950 GC,2021,CAT0950GCLM345678,0,6200,Regular,2026-03-01,2026-12-31,Rivadavia Seguros,POL-2023-98765,2026-12-31,,2026-07-01,Roberto Sánchez,Cantera Los Ángeles,Requiere cambio de filtros hidráulicos
DE456FG,V-004,Retroexcavadora,JCB,3CX,2020,JCB3CX2000TZ56789,0,4800,Bueno,2026-02-15,2026-11-30,Sancor Seguros,SAN-2024-45678,2027-01-15,,2026-08-15,Miguel Ángel Ruiz,Obra RN33,Neumáticos traseros en buen estado
EF567GH,V-005,Motoniveladora,Komatsu,GD675,2022,KMTGD675A12345678,0,3200,Excelente,2026-06-01,2027-05-31,Rivadavia Seguros,POL-2025-11223,2027-06-30,,2026-09-01,Pedro Martínez,Planta Norte,
FG678HI,V-006,Camión cisterna,Iveco,Trakker 450,2021,IVC450TRAK678901,210000,0,Bueno,2026-04-25,2026-10-31,La Meridional,MER-2024-33445,2026-11-30,220000,2026-07-30,Luis Fernández,Planta Central,Tanque revisado y aprobado
GH789IJ,V-007,Auto,Toyota,Hilux SW4,2024,8AJBB42G0R1234567,45000,0,Excelente,2026-05-30,2027-04-30,Sancor Seguros,SAN-2025-55667,2027-05-15,50000,2026-07-20,Gerencia,Planta Central,Vehículo de dirección
HI890JK,V-008,Camión hormigonera,Volkswagen,Constellation 24.280,2023,9BWZZZ24Z0P123456,95000,0,Bueno,2026-03-20,2027-02-28,Rivadavia Seguros,POL-2025-77889,2027-03-31,110000,2026-09-15,Héctor Ríos,Planta Norte,Tambor de hormigón en buen estado
IJ901KL,V-009,Camión jaula,Ford,Cargo 1722,2020,8AFZZZ22Z0L789012,280000,0,Taller,2026-01-10,2026-07-15,La Meridional,MER-2023-99001,2026-08-15,290000,2026-06-30,,Taller Central,"En taller por reparación de motor. Se estima 2 semanas."
JK012LM,V-010,Utilitario,Fiat,Fiorino 1.4,2022,9BD12345678901234,72000,0,Bueno,2026-04-05,2026-11-30,Sancor Seguros,SAN-2024-22334,2027-01-31,80000,2026-08-10,José Díaz,Planta Central,Usado para repuestos menores y mensajería
KL123MN,V-011,Camión playo,Scania,R420 6x4,2021,8BS4208231M567890,195000,0,Regular,2025-12-20,2026-09-30,Rivadavia Seguros,POL-2024-44556,2026-10-31,200000,2026-06-15,Omar Luna,Cantera Los Ángeles,Requiere alineación y balanceo
